date,hospital_id,hospital_name,hospital_type,city,state,admissions,cholera_cases,typhoid_cases,gastroenteritis_cases,other_cases,bed_occupancy_rate,avg_patient_age,comorbidity_index,hospital_outbreak_flag
24-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,121,16,18,19,68,1,25.3,1.05,1
25-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,117,14,19,25,59,0.81,43.9,1.48,1
26-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,103,12,14,15,62,0.92,27.5,0.72,1
27-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,96,7,11,15,63,1,28.7,0.8,1
28-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,105,8,11,20,66,0.78,39.6,1.3,1
29-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,86,4,8,13,61,0.96,33.3,2.17,1
30-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,90,4,10,10,66,0.79,18.8,2.63,1
31-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,121,13,21,12,75,1,32.1,2.45,1
01-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,101,6,15,11,69,0.78,29.4,1.15,1
02-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,119,4,17,20,78,0.74,42.3,0.6,1
03-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,78,4,4,10,60,0.61,22.5,2.24,0
04-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,120,12,12,15,81,0.88,43.3,1.68,1
