date,hospital_id,hospital_name,hospital_type,city,state,admissions,cholera_cases,typhoid_cases,gastroenteritis_cases,other_cases,bed_occupancy_rate,avg_patient_age,comorbidity_index,hospital_outbreak_flag,tenant_profile
24-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,121,16,18,19,68,1.0,25.3,1.05,1,default
25-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,117,14,19,25,59,0.81,43.9,1.48,1,default
26-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,103,12,14,15,62,0.92,27.5,0.72,1,default
27-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,96,7,11,15,63,1.0,28.7,0.8,1,default
28-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,105,8,11,20,66,0.78,39.6,1.3,1,default
29-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,86,4,8,13,61,0.96,33.3,2.17,1,default
30-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,90,4,10,10,66,0.79,18.8,2.63,1,default
31-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,121,13,21,12,75,1.0,32.1,2.45,1,default
01-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,101,6,15,11,69,0.78,29.4,1.15,1,default
02-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,119,4,17,20,78,0.74,42.3,0.6,1,default
03-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,78,4,4,10,60,0.61,22.5,2.24,0,default
04-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,120,12,12,15,81,0.88,43.3,1.68,1,default
05-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,100,8,11,19,62,0.75,57.4,1.59,1,default
06-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,99,6,14,23,56,0.76,44.1,1.7,1,default
07-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,107,8,10,26,63,0.67,27.2,2.04,1,default
08-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,110,5,2,22,81,0.91,46.3,1.31,1,default
09-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,109,14,20,20,55,0.78,28.9,2.06,1,default
10-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,104,12,13,36,43,0.98,34.3,2.72,1,default
11-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,117,10,31,15,61,1.0,54.3,2.74,1,default
12-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,97,7,14,13,63,1.0,51.9,2.68,1,default
13-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,118,8,24,8,78,0.69,17.0,1.62,1,default
14-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,102,7,14,23,58,1.0,50.9,1.15,1,default
15-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,114,15,10,24,65,0.68,39.8,1.94,1,default
16-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,89,6,5,15,63,0.64,33.1,1.95,1,default
17-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,114,7,17,21,69,0.95,34.3,1.52,1,default
18-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,125,8,11,18,88,0.86,44.5,1.56,1,default
19-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,107,14,17,19,57,0.74,40.1,0.86,1,default
20-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,98,9,10,17,62,0.86,31.7,1.7,1,default
21-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,110,4,18,16,72,0.9,31.7,1.78,1,default
22-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,109,10,11,20,68,1.0,22.9,0.84,1,default
23-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,113,12,18,16,67,0.98,41.5,1.42,1,default
24-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,118,11,21,23,63,0.74,23.7,1.21,1,default
25-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,112,8,11,12,81,0.71,55.8,2.71,1,default
26-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,93,6,6,11,70,0.61,35.1,1.82,1,default
27-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,92,5,6,19,62,0.97,44.9,0.91,1,default
