date,hospital_id,hospital_name,water_pH,turbidity_NTU,fecal_coliform_cfu_100ml,residual_chlorine_mg_L,water_temperature_C,dissolved_oxygen_mg_L,cholera_water_risk,typhoid_water_risk,gastro_water_risk,water_risk_score,water_risk_level,contamination_event_flag
24-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.57,3.73,178,0.29,27.02,7.25,0.397,0.489,0.521,0.454,MEDIUM,0
25-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.5,1.87,285,0.11,28.47,4.63,0.362,0.49,0.546,0.444,MEDIUM,0
26-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.47,1.94,263,0.17,27.25,6.15,0.349,0.445,0.492,0.411,MEDIUM,0
27-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.49,1.64,148,0.17,24.15,7.14,0.233,0.389,0.467,0.334,MEDIUM,0
28-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.46,1.65,167,0.1,24.48,5.38,0.249,0.371,0.537,0.35,MEDIUM,0
29-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.59,2.07,25,0.19,24.29,6.6,0.159,0.407,0.482,0.31,MEDIUM,0
30-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.68,1.06,94,0.22,24.76,6.27,0.149,0.543,0.368,0.331,MEDIUM,0
31-08-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.58,1.18,239,0.26,26.83,7.81,0.278,0.539,0.338,0.381,MEDIUM,0
01-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.58,0.84,196,0.25,26.71,6.39,0.219,0.511,0.32,0.341,MEDIUM,0
02-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.71,0.76,103,0.18,28.46,5.95,0.137,0.579,0.383,0.341,MEDIUM,0
03-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.42,1.06,118,0.24,25.86,6.34,0.169,0.299,0.348,0.25,LOW,0
04-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.46,1.27,307,0.29,26.53,5.9,0.341,0.465,0.316,0.379,MEDIUM,0
05-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.43,1.16,291,0.02,26.99,7.42,0.32,0.424,0.577,0.408,MEDIUM,0
06-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.65,1.8,157,0.09,26.45,6.41,0.251,0.555,0.56,0.419,MEDIUM,0
07-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.57,3.71,38,0.22,25.86,6.12,0.279,0.395,0.589,0.382,MEDIUM,0
08-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.27,2.07,74,0.14,24.14,5.09,0.2,0.119,0.532,0.238,LOW,0
09-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.59,0.84,467,0.14,26.09,6.5,0.445,0.701,0.43,0.532,MEDIUM,0
10-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.68,4.31,158,0.06,26.99,6.94,0.419,0.585,0.799,0.553,MEDIUM,0
11-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.84,1.12,214,0.18,26.87,6.38,0.253,0.783,0.413,0.47,MEDIUM,0
12-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.8,1.86,128,0.21,26.06,7.54,0.231,0.685,0.445,0.433,MEDIUM,0
13-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.67,0.63,266,0.36,24.78,7.11,0.264,0.647,0.193,0.384,MEDIUM,0
14-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.69,3.65,50,0.22,24.06,6.26,0.285,0.523,0.584,0.428,MEDIUM,0
15-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.49,3.01,180,0.05,26.5,5.58,0.351,0.41,0.701,0.441,MEDIUM,0
16-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.4,1.51,172,0.11,24.38,6.52,0.244,0.315,0.516,0.323,MEDIUM,0
17-09-2025,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),7.65,1.49,172,0.09,27.24,6.51,0.243,0.565,0.534,0.414,MEDIUM,0
