date,hospital_id,admissions,cholera_cases,typhoid_cases,gastroenteritis_cases,other_cases,bed_occupancy_rate,avg_patient_age,comorbidity_index,water_pH,turbidity_NTU,fecal_coliform_cfu_100ml,TDS_ppm,residual_chlorine_mg_L,water_temp_C,dissolved_oxygen_mg_L,outbreak_label
2025-08-23,PUB_AIIMS_DEL,53,1,2,10,40,0.59,53.2,1.64,6.76,1.21,226,207,0.33,26.3,6.76,0
2025-08-24,PUB_AIIMS_DEL,55,1,3,15,36,0.77,38.9,1.05,7.03,3.4,595,234,0.47,25.9,6.28,0
2025-08-25,PUB_AIIMS_DEL,57,1,2,15,39,0.91,44.0,2.2,7.02,3.71,534,254,0.43,28.9,5.6,0
2025-08-26,PUB_AIIMS_DEL,63,1,2,14,46,0.7,41.3,0.9,7.19,1.6,441,308,0.31,29.6,6.96,0
2025-08-27,PUB_AIIMS_DEL,49,1,1,14,33,0.63,47.0,0.71,6.9,5.43,448,248,0.44,27.9,6.33,0
2025-08-28,PUB_AIIMS_DEL,55,1,3,11,40,0.72,25.5,1.88,7.02,0.98,116,219,0.42,25.0,6.04,0
2025-08-29,PUB_AIIMS_DEL,60,1,2,12,45,0.66,37.2,1.77,7.27,4.63,480,358,0.33,29.9,4.95,0
2025-08-30,PUB_AIIMS_DEL,61,1,2,16,42,0.86,34.1,0.8,7.59,3.53,296,264,0.58,25.2,7.19,0
2025-08-31,PUB_AIIMS_DEL,52,2,2,9,39,0.8,38.7,1.97,7.24,2.78,411,187,0.59,23.9,7.09,0
2025-09-01,PUB_AIIMS_DEL,59,2,3,14,40,0.88,27.4,2.21,7.38,2.78,332,248,0.54,27.3,7.38,0
2025-09-02,PUB_AIIMS_DEL,61,2,3,13,43,0.58,37.8,0.54,6.93,2.79,48,258,0.42,28.7,5.91,0
2025-09-03,PUB_AIIMS_DEL,64,2,2,16,44,0.91,42.1,1.37,7.46,3.81,30,192,0.4,27.7,6.82,0
2025-09-04,PUB_AIIMS_DEL,52,1,2,9,40,0.84,34.5,2.41,7.32,2.98,334,162,0.49,26.7,6.54,0
2025-09-05,PUB_AIIMS_DEL,45,1,1,10,33,0.61,51.9,1.09,7.38,0.99,8,237,0.23,26.8,5.92,0
2025-09-06,PUB_AIIMS_DEL,60,1,2,15,42,0.52,31.1,2.27,7.21,1.23,389,239,0.38,29.8,5.96,0
2025-09-07,PUB_AIIMS_DEL,55,2,3,15,35,0.62,32.9,2.43,7.44,3.53,38,252,0.54,25.3,5.47,0
2025-09-08,PUB_AIIMS_DEL,64,1,3,17,43,0.61,33.7,0.87,7.17,2.84,212,220,0.64,25.3,6.63,0
2025-09-09,PUB_AIIMS_DEL,72,2,2,14,54,0.7,40.3,1.96,7.22,3.28,404,230,0.72,24.6,6.29,0
2025-09-10,PUB_AIIMS_DEL,47,2,1,8,36,0.79,17.1,0.6,7.2,4.05,407,297,0.33,29.9,6.83,0
2025-09-11,PUB_AIIMS_DEL,62,2,2,12,46,0.79,42.5,0.91,7.02,3.72,384,225,0.57,25.2,6.41,0
2025-09-12,PUB_AIIMS_DEL,62,2,2,16,42,0.66,37.6,2.37,7.18,1.14,151,234,0.69,26.1,6.9,0
2025-09-13,PUB_AIIMS_DEL,57,2,2,11,42,0.61,48.7,1.86,7.03,3.74,25,299,0.43,27.3,4.7,0
2025-09-14,PUB_AIIMS_DEL,59,1,1,10,47,0.72,58.2,0.67,7.24,3.59,277,219,0.37,23.1,6.72,0
2025-09-15,PUB_AIIMS_DEL,75,1,4,22,48,0.89,43.0,2.18,6.91,3.49,601,240,0.53,27.8,6.31,1
2025-09-16,PUB_AIIMS_DEL,50,1,2,14,33,0.66,46.3,1.92,6.73,2.52,382,242,0.43,24.0,7.17,0
2025-09-17,PUB_AIIMS_DEL,55,1,2,13,39,0.81,45.3,0.98,7.09,4.28,438,137,0.48,26.1,5.82,0
2025-09-18,PUB_AIIMS_DEL,58,2,2,12,42,0.57,40.2,0.93,7.02,2.75,351,336,0.33,26.7,6.67,0
2025-09-19,PUB_AIIMS_DEL,78,2,2,17,57,0.62,32.4,1.22,7.14,3.69,112,176,0.2,29.5,5.31,0
2025-09-20,PUB_AIIMS_DEL,54,1,3,12,38,0.69,39.9,2.06,7.27,4.17,327,259,0.22,28.7,5.96,0
2025-09-21,PUB_AIIMS_DEL,57,2,1,10,44,0.91,40.3,1.67,7.38,3.33,212,300,0.65,23.3,5.99,0
2025-09-22,PUB_AIIMS_DEL,52,1,1,14,36,0.87,46.9,2.44,7.09,2.22,251,386,0.32,28.8,6.19,0
2025-09-23,PUB_AIIMS_DEL,62,2,3,18,39,0.83,39.2,1.59,7.37,5.42,529,254,0.27,26.4,4.99,0
2025-09-24,PUB_AIIMS_DEL,64,2,3,17,42,0.65,24.3,1.57,7.67,0.72,517,204,0.46,29.2,5.85,0
2025-09-25,PUB_AIIMS_DEL,51,1,2,12,36,0.66,32.7,1.2,7.21,3.11,363,235,0.49,21.7,6.91,0
2025-09-26,PUB_AIIMS_DEL,70,2,2,13,53,0.67,38.4,0.51,7.24,5.95,264,261,0.22,27.6,6.56,0
2025-09-27,PUB_AIIMS_DEL,53,1,2,9,41,0.68,47.0,0.71,7.05,4.3,384,288,0.35,28.4,6.68,0
2025-09-28,PUB_AIIMS_DEL,46,1,1,10,34,0.83,31.8,1.62,7.5,5.01,64,359,0.79,23.0,5.59,0
2025-09-29,PUB_AIIMS_DEL,71,1,3,15,52,0.54,37.6,2.11,7.23,2.07,73,305,0.58,26.0,6.86,0
2025-09-30,PUB_AIIMS_DEL,64,2,2,15,45,0.74,29.9,1.91,7.16,2.35,389,266,0.5,27.5,6.51,0
2025-10-01,PUB_AIIMS_DEL,55,1,1,9,44,0.56,40.6,0.51,7.19,0.6,227,208,0.31,28.6,6.87,0
2025-10-02,PUB_AIIMS_DEL,48,1,1,9,37,0.84,43.0,2.1,7.11,2.67,177,282,0.49,27.3,5.47,0
2025-10-03,PUB_AIIMS_DEL,71,1,2,11,57,0.7,60.1,1.65,6.96,2.55,235,179,0.51,24.5,6.54,0
2025-10-04,PUB_AIIMS_DEL,52,1,1,9,41,0.83,48.5,1.65,7.39,1.12,261,296,0.4,25.3,6.16,0
2025-10-05,PUB_AIIMS_DEL,64,1,1,10,52,0.74,63.1,1.47,7.48,1.22,63,236,0.41,26.1,6.39,0
2025-10-06,PUB_AIIMS_DEL,60,1,2,11,46,0.78,31.9,2.32,7.37,0.82,118,213,0.15,24.2,6.66,0
2025-10-07,PUB_AIIMS_DEL,72,1,2,13,56,0.57,33.3,0.87,7.11,1.37,177,307,0.35,23.9,5.92,0
2025-10-08,PUB_AIIMS_DEL,61,1,1,11,48,0.92,35.5,1.43,7.37,1.08,229,258,0.56,25.1,6.57,0
2025-10-09,PUB_AIIMS_DEL,72,1,1,8,62,0.6,30.8,1.53,7.19,3.04,116,281,0.26,28.2,6.64,0
2025-10-10,PUB_AIIMS_DEL,60,1,1,9,49,0.78,16.8,1.26,7.26,3.35,160,318,0.33,28.1,5.7,0
2025-10-11,PUB_AIIMS_DEL,60,1,1,10,48,0.62,36.2,2.29,7.48,1.7,114,266,0.42,25.5,7.32,0
2025-10-12,PUB_AIIMS_DEL,60,1,1,10,48,0.82,47.8,2.11,7.2,2.81,25,263,0.42,22.6,5.78,0
2025-10-13,PUB_AIIMS_DEL,46,1,1,5,39,0.78,40.6,1.17,7.11,2.33,304,314,0.48,28.4,5.96,0
2025-10-14,PUB_AIIMS_DEL,56,1,2,10,43,0.58,41.3,1.47,7.54,2.17,82,264,0.4,24.4,7.8,0
2025-10-15,PUB_AIIMS_DEL,52,1,1,9,41,0.87,51.1,1.5,7.17,3.1,338,226,0.42,29.6,6.48,0
2025-10-16,PUB_AIIMS_DEL,48,0,1,8,39,0.88,35.8,1.31,7.12,2.71,40,332,0.81,26.7,6.41,0
2025-10-17,PUB_AIIMS_DEL,51,1,1,9,40,0.93,53.0,1.29,6.85,2.82,185,253,0.51,23.5,6.62,0
2025-10-18,PUB_AIIMS_DEL,77,1,2,11,63,0.71,54.0,0.65,7.14,0.95,13,227,0.52,27.3,7.31,0
2025-10-19,PUB_AIIMS_DEL,59,1,2,10,46,0.91,38.1,1.79,7.14,2.8,311,266,0.41,25.4,6.59,0
2025-10-20,PUB_AIIMS_DEL,60,1,1,10,48,0.84,34.4,0.61,7.47,1.81,181,124,0.6,28.7,7.54,0
2025-10-21,PUB_AIIMS_DEL,56,1,2,9,44,0.74,41.2,1.82,7.23,0.08,45,345,0.6,28.0,6.34,0
