hospital_id,hospital_name,city,tenant_profile,item_code,item_name,unit,current_stock,lead_time_days,unit_cost_inr
GOV_AGARTALA,"District Government Hospital, Agartala",Agartala,government,ors_sachets,ORS Sachets,sachet,3988,5,15
GOV_AGARTALA,"District Government Hospital, Agartala",Agartala,government,iv_fluid_bags,IV Fluid - Ringer's Lactate (1L),bag,1121,7,65
GOV_AGARTALA,"District Government Hospital, Agartala",Agartala,government,azithromycin_courses,Azithromycin Course,course,335,7,140
GOV_AGARTALA,"District Government Hospital, Agartala",Agartala,government,ciprofloxacin_courses,Ciprofloxacin Course,course,260,9,95
GOV_AGARTALA,"District Government Hospital, Agartala",Agartala,government,water_purification_tablets,Water Purification Tablets,tablet,11164,4,4
GOV_AHMEDABAD,"District Government Hospital, Ahmedabad",Ahmedabad,government,ors_sachets,ORS Sachets,sachet,2348,6,15
GOV_AHMEDABAD,"District Government Hospital, Ahmedabad",Ahmedabad,government,iv_fluid_bags,IV Fluid - Ringer's Lactate (1L),bag,799,7,65
GOV_AHMEDABAD,"District Government Hospital, Ahmedabad",Ahmedabad,government,azithromycin_courses,Azithromycin Course,course,245,7,140
GOV_AHMEDABAD,"District Government Hospital, Ahmedabad",Ahmedabad,government,ciprofloxacin_courses,Ciprofloxacin Course,course,214,8,95
GOV_AHMEDABAD,"District Government Hospital, Ahmedabad",Ahmedabad,government,water_purification_tablets,Water Purification Tablets,tablet,8191,5,4
MER_AHMEDABAD_CENTRAL,Meridian Health — Ahmedabad - Central,Ahmedabad - Central,meridian,ors_sachets,ORS Sachets,sachet,3942,2,15
MER_AHMEDABAD_CENTRAL,Meridian Health — Ahmedabad - Central,Ahmedabad - Central,meridian,iv_fluid_bags,IV Fluid - Ringer's Lactate (1L),bag,1192,4,65
MER_AHMEDABAD_CENTRAL,Meridian Health — Ahmedabad - Central,Ahmedabad - Central,meridian,azithromycin_courses,Azithromycin Course,course,341,6,140
MER_AHMEDABAD_CENTRAL,Meridian Health — Ahmedabad - Central,Ahmedabad - Central,meridian,ciprofloxacin_courses,Ciprofloxacin Course,course,281,5,95
MER_AHMEDABAD_CENTRAL,Meridian Health — Ahmedabad - Central,Ahmedabad - Central,meridian,water_purification_tablets,Water Purification Tablets,tablet,9350,1,4
MER_AHMEDABAD_EAST,Meridian Health — Ahmedabad - East,Ahmedabad - East,meridian,ors_sachets,ORS Sachets,sachet,2990,2,15
MER_AHMEDABAD_EAST,Meridian Health — Ahmedabad - East,Ahmedabad - East,meridian,iv_fluid_bags,IV Fluid - Ringer's Lactate (1L),bag,946,3,65
MER_AHMEDABAD_EAST,Meridian Health — Ahmedabad - East,Ahmedabad - East,meridian,azithromycin_courses,Azithromycin Course,course,265,5,140
MER_AHMEDABAD_EAST,Meridian Health — Ahmedabad - East,Ahmedabad - East,meridian,ciprofloxacin_courses,Ciprofloxacin Course,course,211,6,95
MER_AHMEDABAD_EAST,Meridian Health — Ahmedabad - East,Ahmedabad - East,meridian,water_purification_tablets,Water Purification Tablets,tablet,6892,1,4
MER_AHMEDABAD_NORTH,Meridian Health — Ahmedabad - North,Ahmedabad - North,meridian,ors_sachets,ORS Sachets,sachet,1028,3,15
MER_AHMEDABAD_NORTH,Meridian Health — Ahmedabad - North,Ahmedabad - North,meridian,iv_fluid_bags,IV Fluid - Ringer's Lactate (1L),bag,330,3,65
MER_AHMEDABAD_NORTH,Meridian Health — Ahmedabad - North,Ahmedabad - North,meridian,azithromycin_courses,Azithromycin Course,course,124,5,140
MER_AHMEDABAD_NORTH,Meridian Health — Ahmedabad - North,Ahmedabad - North,meridian,ciprofloxacin_courses,Ciprofloxacin Course,course,90,4,95
MER_AHMEDABAD_NORTH,Meridian Health — Ahmedabad - North,Ahmedabad - North,meridian,water_purification_tablets,Water Purification Tablets,tablet,3594,1,4
MER_AHMEDABAD_SOUTH,Meridian Health — Ahmedabad - South,Ahmedabad - South,meridian,ors_sachets,ORS Sachets,sachet,2822,2,15
MER_AHMEDABAD_SOUTH,Meridian Health — Ahmedabad - South,Ahmedabad - South,meridian,iv_fluid_bags,IV Fluid - Ringer's Lactate (1L),bag,996,3,65
MER_AHMEDABAD_SOUTH,Meridian Health — Ahmedabad - South,Ahmedabad - South,meridian,azithromycin_courses,Azithromycin Course,course,274,4,140
MER_AHMEDABAD_SOUTH,Meridian Health — Ahmedabad - South,Ahmedabad - South,meridian,ciprofloxacin_courses,Ciprofloxacin Course,course,233,5,95
MER_AHMEDABAD_SOUTH,Meridian Health — Ahmedabad - South,Ahmedabad - South,meridian,water_purification_tablets,Water Purification Tablets,tablet,7416,3,4
MER_AHMEDABAD_WEST,Meridian Health — Ahmedabad - West,Ahmedabad - West,meridian,ors_sachets,ORS Sachets,sachet,2753,2,15
MER_AHMEDABAD_WEST,Meridian Health — Ahmedabad - West,Ahmedabad - West,meridian,iv_fluid_bags,IV Fluid - Ringer's Lactate (1L),bag,1030,3,65
MER_AHMEDABAD_WEST,Meridian Health — Ahmedabad - West,Ahmedabad - West,meridian,azithromycin_courses,Azithromycin Course,course,284,5,140
MER_AHMEDABAD_WEST,Meridian Health — Ahmedabad - West,Ahmedabad - West,meridian,ciprofloxacin_courses,Ciprofloxacin Course,course,262,6,95
MER_AHMEDABAD_WEST,Meridian Health — Ahmedabad - West,Ahmedabad - West,meridian,water_purification_tablets,Water Purification Tablets,tablet,10367,2,4
GOV_AIZAWL,"District Government Hospital, Aizawl",Aizawl,government,ors_sachets,ORS Sachets,sachet,2413,5,15
GOV_AIZAWL,"District Government Hospital, Aizawl",Aizawl,government,iv_fluid_bags,IV Fluid - Ringer's Lactate (1L),bag,836,7,65
GOV_AIZAWL,"District Government Hospital, Aizawl",Aizawl,government,azithromycin_courses,Azithromycin Course,course,228,7,140
GOV_AIZAWL,"District Government Hospital, Aizawl",Aizawl,government,ciprofloxacin_courses,Ciprofloxacin Course,course,183,7,95
GOV_AIZAWL,"District Government Hospital, Aizawl",Aizawl,government,water_purification_tablets,Water Purification Tablets,tablet,5819,5,4
GOV_AMRITSAR,"District Government Hospital, Amritsar",Amritsar,government,ors_sachets,ORS Sachets,sachet,4470,4,15
GOV_AMRITSAR,"District Government Hospital, Amritsar",Amritsar,government,iv_fluid_bags,IV Fluid - Ringer's Lactate (1L),bag,1575,7,65
GOV_AMRITSAR,"District Government Hospital, Amritsar",Amritsar,government,azithromycin_courses,Azithromycin Course,course,544,7,140
GOV_AMRITSAR,"District Government Hospital, Amritsar",Amritsar,government,ciprofloxacin_courses,Ciprofloxacin Course,course,373,8,95
GOV_AMRITSAR,"District Government Hospital, Amritsar",Amritsar,government,water_purification_tablets,Water Purification Tablets,tablet,15410,5,4
PUB_NIMHANS_BLR,NIMHANS,Bengaluru,default,ors_sachets,ORS Sachets,sachet,3565,4,15
PUB_NIMHANS_BLR,NIMHANS,Bengaluru,default,iv_fluid_bags,IV Fluid - Ringer's Lactate (1L),bag,1070,4,65
PUB_NIMHANS_BLR,NIMHANS,Bengaluru,default,azithromycin_courses,Azithromycin Course,course,394,5,140
PUB_NIMHANS_BLR,NIMHANS,Bengaluru,default,ciprofloxacin_courses,Ciprofloxacin Course,course,304,5,95
PUB_NIMHANS_BLR,NIMHANS,Bengaluru,default,water_purification_tablets,Water Purification Tablets,tablet,11127,2,4
PVT_NARAYANA_BLR,Narayana Health,Bengaluru,default,ors_sachets,ORS Sachets,sachet,2722,2,15
PVT_NARAYANA_BLR,Narayana Health,Bengaluru,default,iv_fluid_bags,IV Fluid - Ringer's Lactate (1L),bag,890,4,65
PVT_NARAYANA_BLR,Narayana Health,Bengaluru,default,azithromycin_courses,Azithromycin Course,course,246,7,140
PVT_NARAYANA_BLR,Narayana Health,Bengaluru,default,ciprofloxacin_courses,Ciprofloxacin Course,course,254,5,95
PVT_NARAYANA_BLR,Narayana Health,Bengaluru,default,water_purification_tablets,Water Purification Tablets,tablet,7544,4,4
PVT_MANIPAL_BLR,Manipal Hospital,Bengaluru,default,ors_sachets,ORS Sachets,sachet,2201,3,15
PVT_MANIPAL_BLR,Manipal Hospital,Bengaluru,default,iv_fluid_bags,IV Fluid - Ringer's Lactate (1L),bag,602,5,65
PVT_MANIPAL_BLR,Manipal Hospital,Bengaluru,default,azithromycin_courses,Azithromycin Course,course,176,6,140
PVT_MANIPAL_BLR,Manipal Hospital,Bengaluru,default,ciprofloxacin_courses,Ciprofloxacin Course,course,156,6,95
PVT_MANIPAL_BLR,Manipal Hospital,Bengaluru,default,water_purification_tablets,Water Purification Tablets,tablet,6124,4,4
MER_BENGALURU_CENTRAL,Meridian Health — Bengaluru - Central,Bengaluru - Central,meridian,ors_sachets,ORS Sachets,sachet,1068,2,15
