date,hospital_id,hospital_name,hospital_type,city,state,water_pH,turbidity_NTU,fecal_coliform_cfu_100ml,TDS_ppm,residual_chlorine_mg_L,water_temperature_C,dissolved_oxygen_mg_L,conductivity_uS_cm,contamination_event_flag,water_risk_score
2025-08-23,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.22,3.08,324,355,0.39,23.04,6.79,465,0,0.237
2025-08-24,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.15,12.690410457167669,1143,321,0.11905863575079623,25.24,5.844950768865633,404,1,0.886
2025-08-25,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.21,2.63,231,384,0.32,25.15,7.46,634,0,0.191
2025-08-26,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.27,1.4,497,328,0.39,22.98,7.02,518,0,0.266
2025-08-27,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.36,2.69,370,360,0.25,24.6,7.54,578,0,0.286
2025-08-28,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.32,9.720931647250447,1789,357,0.16203920909484093,26.33,7.141743523970026,569,1,1.0
2025-08-29,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.17,2.19,431,405,0.33,25.29,7.16,420,0,0.261
2025-08-30,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.37,3.94,376,406,0.4,24.69,8.04,612,0,0.313
2025-08-31,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.27,4.16,32,400,0.38,25.14,7.88,365,0,0.164
2025-09-01,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.25,2.89,586,353,0.31,24.88,8.37,527,0,0.35
2025-09-02,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.21,3.05,399,405,0.32,25.11,7.59,401,0,0.271
2025-09-03,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.31,20.07146952565931,2073,363,0.007924845044602447,24.98,6.386780750282328,448,1,1.0
2025-09-04,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.26,2.94,641,377,0.39,25.43,6.67,502,0,0.368
2025-09-05,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.28,5.1,360,381,0.37,24.01,8.51,557,0,0.326
2025-09-06,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.37,1.56,575,322,0.42,28.38,7.23,464,0,0.319
2025-09-07,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.29,1.98,177,373,0.29,26.15,7.27,612,0,0.169
2025-09-08,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.18,2.18,496,328,0.39,27.23,6.86,517,0,0.279
2025-09-09,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.31,3.33,219,325,0.41,25.92,7.97,528,0,0.218
2025-09-10,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.19,2.76,426,346,0.52,26.15,7.11,550,0,0.255
2025-09-11,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.16,3.34,542,342,0.45,26.07,8.31,637,0,0.33
2025-09-12,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.25,1.72,266,342,0.37,25.98,7.99,562,0,0.181
2025-09-13,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.28,4.04,350,466,0.42,24.42,7.18,538,0,0.285
2025-09-14,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.25,3.26,450,368,0.3,23.56,7.55,564,0,0.308
2025-09-15,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.3,1.21,409,384,0.3,25.73,7.86,424,0,0.24
2025-09-16,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.32,3.1,532,408,0.26,24.31,8.13,540,0,0.354
2025-09-17,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.34,6.56,463,411,0.45,26.38,7.63,557,0,0.415
2025-09-18,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.18,2.26,321,374,0.56,23.1,8.23,391,0,0.2
2025-09-19,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.22,3.66,395,333,0.31,26.42,7.38,519,0,0.291
2025-09-20,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.28,1.83,676,393,0.21,25.77,7.42,564,0,0.37
2025-09-21,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.18,2.39,454,401,0.28,25.1,7.54,458,0,0.279
2025-09-22,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.49,2.94,216,403,0.54,26.87,6.91,470,0,0.233
2025-09-23,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.43,1.77,446,398,0.3,25.45,5.88,432,0,0.297
2025-09-24,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.24,1.2,606,321,0.34,25.7,8.69,403,0,0.302
2025-09-25,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.41,2.52,254,387,0.39,24.75,7.86,477,0,0.23
2025-09-26,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.29,3.21,600,328,0.54,22.99,7.73,545,0,0.354
2025-09-27,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.31,1.86,358,354,0.32,26.64,8.04,455,0,0.239
2025-09-28,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.38,2.84,496,393,0.31,24.8,8.27,547,0,0.339
2025-09-29,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.27,2.64,559,350,0.42,25.27,7.69,581,0,0.325
2025-09-30,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.37,3.37,562,372,0.43,25.13,8.02,495,0,0.367
2025-10-01,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.29,2.09,184,444,0.29,23.95,8.52,559,0,0.175
2025-10-02,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.35,2.12,256,339,0.38,24.65,8.41,494,0,0.208
2025-10-03,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.18,1.45,294,351,0.31,25.85,7.97,468,0,0.184
2025-10-04,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.22,1.84,127,322,0.31,25.25,8.01,607,0,0.129
2025-10-05,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.38,1.56,256,336,0.37,25.16,8.01,446,0,0.198
2025-10-06,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.34,2.75,247,385,0.43,25.01,7.96,505,0,0.216
2025-10-07,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.29,1.13,259,388,0.49,26.78,9.11,450,0,0.156
2025-10-08,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.38,1.8,454,343,0.3,24.75,6.55,467,0,0.292
2025-10-09,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.18,1.78,288,437,0.45,24.78,7.28,538,0,0.178
2025-10-10,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.12,2.96,363,354,0.23,27.29,7.75,591,0,0.277
2025-10-11,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.08,1.26,258,373,0.34,26.34,7.18,494,0,0.181
2025-10-12,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.29,2.04,321,332,0.25,27.19,8.02,452,0,0.233
2025-10-13,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.46,1.76,363,373,0.54,27.81,7.67,572,0,0.25
2025-10-14,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.35,2.63,170,395,0.46,23.25,7.11,361,0,0.181
2025-10-15,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.24,2.18,392,373,0.5,23.74,6.8,500,0,0.23
2025-10-16,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.32,1.65,71,368,0.27,26.4,8.04,438,0,0.125
2025-10-17,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.21,0.93,252,404,0.29,26.19,7.5,448,0,0.152
2025-10-18,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.26,0.95,207,329,0.53,25.58,7.4,519,0,0.123
2025-10-19,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.26,1.52,312,397,0.33,24.78,7.66,343,0,0.199
2025-10-20,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.09,2.63,405,362,0.42,25.94,9.67,582,0,0.271
2025-10-21,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.26,1.01,113,378,0.31,23.68,7.43,428,0,0.106
2025-10-22,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.48,2.29,257,423,0.38,24.41,8.74,542,0,0.24
2025-10-23,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.15,1.54,178,322,0.45,28.01,6.98,543,0,0.132
2025-10-24,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.2,1.33,204,341,0.38,24.45,7.98,500,0,0.134
2025-10-25,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.25,1.04,205,397,0.41,24.26,7.88,557,0,0.132
2025-10-26,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.07,2.06,198,391,0.31,23.19,6.84,507,0,0.186
2025-10-27,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.31,1.04,315,313,0.37,23.96,7.43,507,0,0.192
2025-10-28,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.17,1.41,348,351,0.44,24.06,8.14,605,0,0.194
2025-10-29,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,6.98,1.12,309,364,0.4,24.75,7.87,493,0,0.211
2025-10-30,PUB_AIIMS_DEL,All India Institute of Medical Sciences (AIIMS),public,New Delhi,Delhi,7.41,1.85,288,356,0.33,24.97,8.06,474,0,0.23
