date,hospital_id,hospital_name,hospital_type,city,state,admissions,cholera_cases,typhoid_cases,gastroenteritis_cases,other_cases,bed_occupancy_rate,avg_patient_age,comorbidity_index,hospital_outbreak_flag,tenant_profile,hospital_name_water,water_pH,turbidity_NTU,fecal_coliform_cfu_100ml,residual_chlorine_mg_L,water_temperature_C,dissolved_oxygen_mg_L,cholera_water_risk,typhoid_water_risk,gastro_water_risk,water_risk_score,water_risk_level,contamination_event_flag,lat,lng,rolling_cases_24h,rolling_cases_72h,delta_cases,case_growth_rate,water_contamination_index,humidity_index,rainfall_index,environmental_risk_index,future_cases_48h,predicted_cases_48h,raw_risk_score,riskScore,riskLevel,anomaly_val,is_anomaly,anomaly_score
2025-08-24,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,189,25,12,37,98,0.7966101694915254,39.4,1.1,0,government,"District Government Hospital, Agartala",7.44,2.49,131,0.23,27.93,6.46,0.222,0.455,0.391,0.055,LOW,0,23.8315,91.2868,0.8523809523809525,0.0,0.45182724252491696,0.07661971830985916,0.036634558279945086,0.0,0.07415128052412151,0.07415128052412157,203.0,132.4920504553892,54.83736973579526,44.656912885296705,Low-Mod,1,False,0.04380885691115399
2025-08-25,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,183,10,27,18,84,0.8474576271186441,40.1,0.63,0,government,"District Government Hospital, Agartala",7.21,6.41,153,0.26,27.42,5.71,0.481,0.56,0.561,0.115,LOW,0,23.8315,91.2868,0.8238095238095239,0.0,0.4318936877076412,0.07366867873910128,0.043713216283793696,0.0,0.19088743299583086,0.19088743299583089,180.0,155.12850009163773,65.27167085512721,55.59498443547236,Moderate,1,False,0.053790096807382226
2025-08-26,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,203,17,28,28,79,0.9999999999999999,26.2,0.15,1,government,"District Government Hospital, Agartala",7.5,6.06,26,0.27,26.51,7.16,0.33,0.566,0.477,0.093,LOW,0,23.8315,91.2868,0.9190476190476191,0.8712121212121211,0.5182724252491695,0.08677903486492727,0.008819176703109204,0.0,0.18046456223942822,0.1804645622394282,184.0,191.29733121410078,78.58815340912787,69.55438979540224,High-Mod,-1,True,-0.04173235361128891
2025-08-27,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,180,13,24,34,105,0.6271186440677966,27.9,1.5,0,government,"District Government Hospital, Agartala",7.49,1.45,171,0.22,20.26,5.88,0.415,0.334,0.41,0.045,LOW,0,23.8315,91.2868,0.8095238095238095,0.8575757575757574,0.3754152823920266,0.06608755984180947,0.0473286672619268,0.0,0.04318046456223943,0.04318046456223945,212.0,202.16776169496853,82.7187693414676,73.88443280427414,High,1,False,0.031553461169526675
2025-08-28,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,184,23,15,17,110,0.7796610169491524,56.1,0.95,0,government,"District Government Hospital, Agartala",7.49,2.91,162,0.22,24.27,3.76,0.483,0.376,0.379,0.065,LOW,0,23.8315,91.2868,0.8285714285714286,0.859090909090909,0.46511627906976744,0.07868544600938968,0.04526034401646977,0.0,0.08665872543180465,0.08665872543180464,181.0,190.12099249968264,78.27279457468521,69.22380536471881,High-Mod,1,False,0.05641144973837969
2025-08-29,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,212,14,17,42,77,0.559322033898305,37.7,1.02,1,government,"District Government Hospital, Agartala",7.45,6.55,228,0.26,28.48,7.15,0.149,0.585,0.557,0.128,LOW,0,23.8315,91.2868,0.961904761904762,0.8727272727272727,0.5448504983388704,0.09076546233925291,0.06435804485847485,0.0,0.1950565812983919,0.19505658129839187,199.0,197.1607258850163,82.7455975127447,73.91255624576132,High,-1,True,-0.06493286082799665
2025-08-30,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,181,25,28,18,64,0.6779661016949153,12.8,1.21,0,government,"District Government Hospital, Agartala",7.58,3.91,198,0.17,24.28,6.31,0.286,0.443,0.118,0.085,LOW,0,23.8315,91.2868,0.8142857142857143,0.8742424242424243,0.3488372093023256,0.06302684028700505,0.05542228494855937,0.0,0.11643835616438357,0.11643835616438358,192.0,196.31230153888205,81.35197272565344,72.45164693703339,High,1,False,0.011123588608923818
2025-08-31,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,199,11,30,38,119,0.6440677966101694,28.2,1.41,0,government,"District Government Hospital, Agartala",7.49,4.27,89,0.13,22.65,5.98,0.189,0.401,0.097,0.075,LOW,0,23.8315,91.2868,0.9,0.896969696969697,0.5116279069767442,0.08586413508676367,0.025608530050350225,0.0,0.12715902322811196,0.1271590232281119,188.0,191.63568512067914,78.69412018206327,69.66547266823224,High-Mod,-1,True,-0.021012523040557674
2025-09-01,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,192,14,19,18,67,0.559322033898305,40.0,0.85,0,government,"District Government Hospital, Agartala",7.47,6.29,104,0.23,26.08,6.34,0.582,0.58,0.612,0.107,LOW,0,23.8315,91.2868,0.8666666666666667,0.8666666666666666,0.4285714285714286,0.07334984783070281,0.03027460145687861,0.0,0.1873138773079214,0.18731387730792137,182.0,191.59344066338394,79.41875308213916,70.42509100950825,High,1,False,0.018135651702999023
2025-09-02,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,188,24,12,34,62,0.6610169491525425,29.4,0.99,0,government,"District Government Hospital, Agartala",7.54,9.43,117,0.27,27.79,5.74,0.552,0.207,0.356,0.155,LOW,0,23.8315,91.2868,0.8476190476190476,0.8772727272727272,0.4385382059800665,0.0746830985915493,0.03471162115121116,0.0,0.2808219178082192,0.2808219178082192,192.0,195.6780841221207,82.12080146146683,73.25759489904661,High,1,False,0.03951181658406416
2025-09-03,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,182,10,16,19,68,0.9322033898305083,48.1,1.61,0,government,"District Government Hospital, Agartala",7.38,5.4,127,0.16,28.47,7.03,0.087,0.187,0.27,0.097,LOW,0,23.8315,91.2868,0.819047619047619,0.8515151515151516,0.4318936877076412,0.07365298172010788,0.036327327240832104,0.0,0.16081000595592618,0.1608100059559262,203.0,196.26476478010318,81.2038257888255,72.29634743240618,High,1,False,0.05090293008008667
2025-09-04,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,192,22,30,21,83,0.8474576271186441,16.9,0.98,0,government,"District Government Hospital, Agartala",7.36,8.59,101,0.18,24.1,6.79,0.508,0.426,0.516,0.14,LOW,0,23.8315,91.2868,0.8666666666666667,0.8515151515151516,0.4850498338870432,0.08172728679770934,0.030067494818905135,0.0,0.2558070279928529,0.2558070279928528,198.0,195.6545280759797,81.72190635488757,72.83944104601134,High,1,False,0.009080057640172168
2025-09-05,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,203,14,16,21,115,0.9999999999999999,38.3,1.02,1,government,"District Government Hospital, Agartala",7.54,2.6,171,0.22,23.6,6.49,0.581,0.275,0.314,0.062,LOW,0,23.8315,91.2868,0.9190476190476191,0.8742424242424243,0.48837209302325585,0.08194542253521127,0.04765098553956766,0.0,0.07742703990470519,0.07742703990470523,191.0,195.62904341645014,80.45541733181415,71.5118056448992,High,-1,True,-0.016628768736231314
2025-09-06,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,198,14,16,23,117,0.7966101694915254,29.0,1.33,0,government,"District Government Hospital, Agartala",7.4,6.86,133,0.15,26.52,6.59,0.359,0.502,0.655,0.119,LOW,0,23.8315,91.2868,0.8952380952380953,0.8984848484848484,0.43521594684385384,0.07433011864289184,0.03837644854634456,0.0,0.2042882668254914,0.2042882668254914,197.0,194.33091835793672,80.92654346781995,72.00567785788736,High,1,False,0.008171319694279089
2025-09-07,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,191,20,14,15,94,0.9999999999999999,49.9,0.11,0,government,"District Government Hospital, Agartala",7.46,5.05,153,0.11,27.91,4.17,0.0,0.557,0.422,0.095,LOW,0,23.8315,91.2868,0.861904761904762,0.896969696969697,0.4285714285714286,0.07333333333333333,0.04337443920048608,0.0,0.15038713519952354,0.15038713519952351,187.0,191.88005308657256,79.55712576263883,70.57014435448896,High,1,False,0.025090467165476027
2025-09-08,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,197,22,15,31,92,0.44067796610169496,46.8,1.09,0,government,"District Government Hospital, Agartala",7.19,0.81,45,0.22,30.05,6.52,0.564,0.215,0.419,0.018,LOW,0,23.8315,91.2868,0.8904761904761905,0.8878787878787879,0.47176079734219273,0.07953985694270334,0.01254846775377078,0.0,0.024121500893388926,0.024121500893388936,191.0,193.50312858300236,78.01892047474797,68.95767416550461,High-Mod,-1,True,-0.0029282034073410124
2025-09-09,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,187,10,14,18,111,0.49152542372881347,42.4,0.66,0,government,"District Government Hospital, Agartala",7.45,4.9,0,0.19,24.05,3.14,0.531,0.303,0.359,0.072,LOW,0,23.8315,91.2868,0.8428571428571429,0.8712121212121211,0.4186046511627907,0.0719010509759062,0.001361966168924952,0.0,0.1459201905896367,0.14592019058963668,200.0,200.16705155499497,81.5668815129621,72.67693156946443,High,-1,True,-0.0071713736137662965
2025-09-10,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,191,19,30,24,103,0.9999999999999999,39.7,1.03,0,government,"District Government Hospital, Agartala",7.15,3.76,146,0.11,25.43,6.46,0.313,0.445,0.387,0.076,LOW,0,23.8315,91.2868,0.861904761904762,0.8712121212121211,0.46511627906976744,0.07860811930405966,0.04105786230288865,0.0,0.11197141155449672,0.11197141155449675,191.0,194.56145912008432,80.17603363266537,71.21893323722253,High,1,False,0.03004519410464035
2025-09-11,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,200,17,23,27,82,0.9999999999999999,52.4,0.9,0,government,"District Government Hospital, Agartala",7.32,3.74,140,0.26,21.59,7.66,0.286,0.384,0.361,0.074,LOW,0,23.8315,91.2868,0.9047619047619048,0.8757575757575756,0.4817275747508306,0.08099992625912543,0.03942981210901764,0.0,0.11137581893984516,0.11137581893984516,198.0,195.86978112446997,80.64456500245699,71.71008540809362,High,-1,True,-0.011257805695983003
2025-09-12,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,191,20,21,26,101,0.7796610169491524,15.1,0.83,0,government,"District Government Hospital, Agartala",7.38,10.71,23,0.14,21.99,8.46,0.582,0.559,0.521,0.161,LOW,0,23.8315,91.2868,0.861904761904762,0.8818181818181817,0.4219269102990033,0.07243661971830986,0.009255335053278527,0.0,0.3189398451459202,0.3189398451459202,192.0,195.54212031607966,81.68390662948943,72.79960668522969,High,1,False,0.00025427307810776956
2025-09-13,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,198,10,28,20,118,0.6779661016949153,37.5,1.24,0,government,"District Government Hospital, Agartala",7.78,0.75,93,0.11,31.73,5.92,0.431,0.532,0.357,0.024,LOW,0,23.8315,91.2868,0.8952380952380953,0.8924242424242425,0.4750830564784053,0.08002654671484404,0.02577997594271238,0.0,0.022334723049434187,0.02233472304943418,183.0,189.5499618714677,76.8167312573628,67.6974429793214,High-Mod,-1,True,-0.008001417660601695
2025-09-14,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,192,11,27,27,107,0.9999999999999999,41.1,0.81,0,government,"District Government Hospital, Agartala",7.38,5.33,90,0.2,27.44,5.75,0.37,0.459,0.195,0.091,LOW,0,23.8315,91.2868,0.8666666666666667,0.8803030303030303,0.4318936877076412,0.07380281690140846,0.026158528473048014,0.0,0.15872543180464563,0.1587254318046456,202.0,196.92854281073372,81.1434272965314,72.23303288716926,High,1,False,0.016766275297718014
2025-09-15,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,183,27,14,17,58,0.7627118644067795,54.2,0.19,0,government,"District Government Hospital, Agartala",7.53,0.83,139,0.2,29.41,4.39,0.432,0.462,0.474,0.032,LOW,0,23.8315,91.2868,0.8238095238095239,0.8681818181818182,0.4219269102990033,0.07226232394366197,0.03838604951631685,0.0,0.0247170935080405,0.024717093508040522,185.0,190.72024299243833,77.68684961754523,68.60957085180186,High-Mod,1,False,0.04990349342037448
2025-09-16,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,202,11,21,18,86,0.7627118644067795,39.6,1.57,0,government,"District Government Hospital, Agartala",7.33,5.83,125,0.31,27.48,7.95,0.124,0.099,0.36,0.103,LOW,0,23.8315,91.2868,0.9142857142857144,0.8742424242424243,0.5149501661129569,0.08627106903717387,0.03588979732352388,0.0,0.1736152471709351,0.17361524717093513,202.0,195.42833919682417,80.98418207014474,72.06609926503964,High,-1,True,-0.023553066039782355
2025-09-17,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,185,18,23,18,84,0.6779661016949153,46.8,0.77,0,government,"District Government Hospital, Agartala",7.37,4.71,155,0.23,24.68,3.97,0.577,0.508,0.578,0.091,LOW,0,23.8315,91.2868,0.8333333333333334,0.8636363636363636,0.39534883720930236,0.06879654162599358,0.04381745538634988,0.0,0.1402620607504467,0.14026206075044667,202.0,195.02403297889813,80.72675746065423,71.79624613686353,High,1,False,0.036087456338295576
2025-09-18,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,202,18,25,36,87,0.8305084745762711,42.4,0.92,0,government,"District Government Hospital, Agartala",7.17,7.07,63,0.13,30.27,5.29,0.504,0.461,0.274,0.113,LOW,0,23.8315,91.2868,0.9142857142857144,0.8924242424242425,0.5083056478405316,0.08516178149980967,0.019200568377422355,0.0,0.21054198927933296,0.210541989279333,204.0,196.51117360486057,81.28590638606023,72.38239089954087,High,-1,True,-0.030018020513133736
2025-09-19,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,202,19,26,35,65,0.9491525423728812,40.4,1.34,0,government,"District Government Hospital, Agartala",7.58,5.84,113,0.14,30.51,5.61,0.5,0.484,0.493,0.102,LOW,0,23.8315,91.2868,0.9142857142857144,0.8924242424242425,0.45182724252491696,0.07661971830985916,0.03263506850292075,0.0,0.17391304347826086,0.17391304347826086,197.0,196.78986787372097,81.43412963935862,72.53777040521506,High,1,False,0.007291344700529168
2025-09-20,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,204,26,28,29,71,0.9999999999999999,30.2,1.18,1,government,"District Government Hospital, Agartala",7.5,5.28,106,0.15,28.25,5.07,0.288,0.454,0.56,0.092,LOW,0,23.8315,91.2868,0.9238095238095239,0.9212121212121211,0.4584717607973422,0.07754009203737275,0.03055028645179696,0.0,0.1572364502680167,0.1572364502680167,190.0,193.61144630941047,79.93345161999828,70.96463930981974,High,-1,True,-0.0016007260154088376
2025-09-21,GOV_AGARTALA,"District Government Hospital, Agartala",public,Agartala,Tripura,197,24,14,22,96,0.7457627118644067,44.9,0.79,0,government,"District Government Hospital, Agartala",7.53,3.66,155,0.22,31.21,6.44,0.322,0.391,0.402,0.075,LOW,0,23.8315,91.2868,0.8904761904761905,0.9136363636363636,0.4285714285714286,0.07342999171499585,0.04355137136140382,0.0,0.10899344848123885,0.10899344848123882,183.0,190.98098465781834,78.78886948878184,69.76479649302556,High-Mod,1,False,0.008934918624924904
